StoreID,OrderTime,ArrivalTime,PickupTime,ObservedPrepTime,ReconstructedPrepTime,KitchenLoad,QueueLength,IdleTime
52,2026-02-09 18:48:55.276916,2026-02-09 19:29:41.085665,2026-02-09 19:31:11.517460,40.391037617329836,37.7470348235312,28.0,28,31.76341143269456
3,2026-03-09 10:47:55.815321,2026-03-09 11:19:36.134422,2026-03-09 11:22:12.340896,36.28812991252057,28.013326287092738,11.0,11,23.345325367181466
60,2026-02-27 14:10:16.691339,2026-02-27 14:37:15.715069,2026-02-27 14:39:09.430336,26.879772273697956,28.685237724634572,14.0,14,14.221576056266297
73,2026-03-08 03:17:13.596385,2026-03-08 03:56:25.683119,2026-03-08 03:57:38.980199,39.10186536272831,38.07783077776291,27.0,27,26.418600931149737
44,2026-02-24 03:32:41.316616,2026-02-24 03:53:44.947024,2026-02-24 03:55:23.760025,18.947146449835806,18.993597845231854,13.0,13,9.086604506225637
93,2026-02-09 04:11:36.204773,2026-02-09 04:21:37.365551,2026-02-09 04:22:07.365551,10.991942605203667,11.13813561528362,1.0,1,0.0
62,2026-02-28 21:19:53.100736,2026-02-28 21:48:25.050968,2026-02-28 21:51:08.341116,28.790274289546236,26.26756795132888,17.0,17,18.458589334725215
45,2026-03-07 19:32:08.736190,2026-03-07 20:02:18.779902,2026-03-07 20:05:36.999578,27.447233202399183,30.881459089279428,23.0,23,15.683289058545528
41,2026-02-10 17:43:32.223825,2026-02-10 18:00:48.491409,2026-02-10 18:01:54.598933,16.03997647457608,19.04070091768603,11.0,11,4.808224101148488
91,2026-02-21 19:36:43.194208,2026-02-21 20:06:11.950438,2026-02-21 20:09:45.829057,34.0933801982582,29.425531440195368,14.0,14,17.82014069318634
15,2026-03-07 06:30:43.354705,2026-03-07 06:44:11.030709,2026-03-07 06:46:12.170729,16.588741592655417,14.816565476575919,18.0,18,3.7162211365950313
15,2026-02-16 03:24:34.323439,2026-02-16 03:37:42.571734,2026-02-16 03:40:01.442508,16.612031536941178,13.523146883229515,6.0,6,3.8314811659428454
30,2026-02-12 05:09:05.195134,2026-02-12 05:53:03.567244,2026-02-12 05:53:35.756347,42.989882063881126,43.3847062739762,22.0,22,30.24676514221698
3,2026-03-10 07:38:02.546814,2026-03-10 07:54:40.387235,2026-03-10 07:56:09.559986,19.375326654958382,15.631582758834702,8.0,8,7.099324152168853
88,2026-02-17 13:59:48.297017,2026-02-17 14:20:13.477473,2026-02-17 14:22:40.922412,17.255860866109018,19.282183593732164,16.0,16,5.435490879166936
59,2026-02-20 05:56:48.814862,2026-02-20 06:14:34.510190,2026-02-20 06:18:32.984462,13.482152138676806,18.268622781166176,21.0,21,6.627106640841822
70,2026-03-03 02:29:11.261117,2026-03-03 02:47:18.516451,2026-03-03 02:49:17.203599,16.26371415432908,18.65516198097803,10.0,10,7.3291511382820875
16,2026-02-13 15:46:51.570017,2026-02-13 16:04:22.814161,2026-02-13 16:05:25.725856,20.09324549307619,18.59792815804892,5.0,5,3.8542284153338446
20,2026-02-19 12:11:17.904017,2026-02-19 12:21:31.383672,2026-02-19 12:24:23.782690,10.42160838434881,11.97847238044407,0.0,0,0.7611595648511393
31,2026-02-12 11:01:21.275651,2026-02-12 11:26:20.457623,2026-02-12 11:28:50.553405,26.119674978235466,25.080603101915965,27.0,27,10.807911799990812
9,2026-03-01 23:18:05.573846,2026-03-01 23:53:16.268807,2026-03-01 23:55:30.204029,36.21759397765124,34.158212266792574,15.0,15,26.046848350498014
38,2026-02-18 09:17:22.155990,2026-02-18 09:32:34.853285,2026-02-18 09:35:54.359625,11.561056906564556,16.785642672123572,15.0,15,5.641736417418354
33,2026-03-10 00:01:47.276844,2026-03-10 00:33:54.816519,2026-03-10 00:37:48.624098,33.364004038004424,33.35875149718666,15.0,15,23.46993788239828
86,2026-03-02 20:05:45.794133,2026-03-02 20:28:51.428439,2026-03-02 20:30:00.586987,23.004729019557633,20.189340777642904,5.0,5,10.578181558405849
64,2026-02-12 21:10:20.700536,2026-02-12 21:29:54.377884,2026-02-12 21:32:38.798333,19.14947367419797,19.37509054216893,15.0,15,4.794705392185733
99,2026-02-09 13:15:01.654895,2026-02-09 13:48:12.886819,2026-02-09 13:48:58.142492,35.75639511777656,33.50833935100145,28.0,28,18.634115315680678
58,2026-02-11 01:35:43.446897,2026-02-11 02:06:53.204015,2026-02-11 02:09:57.175928,31.316701208178866,32.47128936623064,17.0,17,18.245230041830197
48,2026-02-22 03:45:03.179974,2026-02-22 04:31:25.320964,2026-02-22 04:34:33.454902,57.92721097204154,47.22535226611713,25.0,25,33.455248359273455
16,2026-03-08 15:03:55.282437,2026-03-08 15:25:06.023257,2026-03-08 15:26:33.943492,18.61122690797989,21.119559448408566,14.0,14,9.380501218514958
22,2026-02-21 06:45:56.003596,2026-02-21 07:01:54.841209,2026-02-21 07:03:24.184541,10.339689118215267,17.430214886531562,19.0,19,6.079826472834743
5,2026-02-24 11:27:28.944029,2026-02-24 11:53:08.769262,2026-02-24 11:53:38.769262,26.930695165828535,23.70188243133228,19.0,19,12.455455379842535
90,2026-03-09 07:32:29.086678,2026-03-09 08:01:49.343471,2026-03-09 08:04:39.245986,29.80921877428799,29.164403094111158,22.0,22,19.659101694894936
48,2026-03-04 14:48:11.722793,2026-03-04 15:03:07.279737,2026-03-04 15:06:57.902685,19.880002031530818,12.935701422888503,0.0,0,5.191832145584247
16,2026-03-06 03:47:17.218834,2026-03-06 04:11:08.493620,2026-03-06 04:13:04.922099,26.178481927697057,22.464184060041923,28.0,28,12.41326864159122
39,2026-02-28 04:24:22.419018,2026-02-28 04:38:29.747054,2026-02-28 04:40:01.807168,18.09192535487602,13.92951571361275,4.0,4,1.7411145234226577
58,2026-02-23 11:12:13.446095,2026-02-23 11:27:00.463120,2026-02-23 11:28:37.344304,12.98296645988854,14.888320218849952,12.0,12,0.20200540139022038
