StoreID,OrderTime,ArrivalTime,PickupTime,ObservedPrepTime,ReconstructedPrepTime
52,2026-01-30 22:37:37.119371,2026-01-30 22:48:09.953104,2026-01-30 22:49:53.970186,13.578774733500936,9.675911678046084
76,2026-02-10 20:08:57.357580,2026-02-10 20:14:00.692928,2026-02-10 20:18:54.394253,3.460136900085615,4.879375878083273
15,2026-02-14 17:29:40.276210,2026-02-14 17:36:41.908167,2026-02-14 17:37:57.520549,7.359967058432632,5.30070892316958
4,2026-01-31 08:48:17.825626,2026-01-31 08:56:13.846758,2026-01-31 08:59:57.830003,5.686455969077054,6.766112528770778
44,2026-02-14 07:21:23.159166,2026-02-14 07:32:40.994307,2026-02-14 07:34:25.359376,14.573229135887317,15.464721905142964
63,2026-02-03 11:28:11.985543,2026-02-03 11:43:33.283962,2026-02-03 11:46:50.190516,12.633413912996387,17.137912243084486
62,2026-02-19 01:08:34.943265,2026-02-19 01:16:32.072696,2026-02-19 01:20:44.599971,5.310383388280511,6.25632872939948
65,2026-02-28 07:17:21.424243,2026-02-28 07:26:37.406438,2026-02-28 07:30:02.836832,12.05812311648169,10.283021028678396
41,2026-01-31 21:32:14.066333,2026-01-31 21:43:24.122235,2026-01-31 21:45:30.055465,7.795903356300283,12.592606453181162
35,2026-02-14 21:50:38.849611,2026-02-14 22:10:16.056853,2026-02-14 22:13:14.567796,24.106423454606613,20.12739257394617
9,2026-02-07 18:22:13.701511,2026-02-07 18:30:56.987488,2026-02-07 18:32:30.427037,11.60495425602408,11.412854221281894
15,2026-02-06 07:13:16.165910,2026-02-06 07:20:13.014934,2026-02-06 07:24:42.165476,8.451828726889445,8.684763711713071
28,2026-02-22 05:26:08.805764,2026-02-22 05:39:41.902493,2026-02-22 05:43:17.348122,10.966817994496502,13.164334959436978
77,2026-02-03 08:48:58.542662,2026-02-03 09:00:56.212800,2026-02-03 09:03:17.240441,10.774619615212004,11.52746368524797
79,2026-02-23 22:17:21.268671,2026-02-23 22:28:46.765573,2026-02-23 22:32:37.710515,11.34281902694441,12.651758632024732
56,2026-02-27 11:31:15.552570,2026-02-27 11:37:31.964964,2026-02-27 11:39:29.459818,7.706802193340465,5.884996927931548
2,2026-02-12 19:41:21.973206,2026-02-12 19:53:43.742390,2026-02-12 19:56:36.614542,10.295237106080316,13.454569408721852
98,2026-02-09 15:42:32.935604,2026-02-09 15:49:29.075988,2026-02-09 15:50:38.862022,3.9640640906639937,6.0862264716519014
20,2026-02-19 04:43:58.569822,2026-02-19 04:59:05.265100,2026-02-19 05:02:09.525424,14.301786661340861,14.8963946241219
1,2026-02-08 04:34:01.422561,2026-02-08 04:43:37.066057,2026-02-08 04:45:19.055240,6.5109256714959445,10.705919216329239
60,2026-02-20 09:00:07.337823,2026-02-20 09:17:16.721957,2026-02-20 09:21:39.920631,17.698271159986113,18.603618112258108
20,2026-02-01 19:17:23.619800,2026-02-01 19:25:04.373263,2026-02-01 19:26:05.588043,8.558441802518955,6.607697255583359
82,2026-02-14 04:18:18.183421,2026-02-14 04:32:05.363549,2026-02-14 04:36:03.964475,12.636365539864268,13.092545168359349
67,2026-02-08 21:35:18.398514,2026-02-08 21:39:21.550230,2026-02-08 21:44:15.072763,1.3839853031454834,2.828813164573896
51,2026-02-01 19:17:17.830393,2026-02-01 19:31:40.925478,2026-02-01 19:33:48.310845,22.545425589749563,15.323419111628215
35,2026-02-06 02:18:13.507752,2026-02-06 02:33:23.022532,2026-02-06 02:37:22.475038,16.979506796273043,14.63522789340804
37,2026-01-31 22:02:36.054086,2026-01-31 22:23:19.338042,2026-01-31 22:25:35.399323,23.052548654243765,22.289756022052416
18,2026-02-11 13:20:40.233962,2026-02-11 13:34:19.631520,2026-02-11 13:39:17.244444,14.34948713450438,12.443220628583441
66,2026-02-21 06:37:27.593528,2026-02-21 06:49:45.845706,2026-02-21 06:52:26.593112,10.119665222974561,9.601371017554719
50,2026-02-02 06:29:57.445269,2026-02-02 06:42:32.041641,2026-02-02 06:46:20.513692,14.289277725720849,14.279954653912247
16,2026-02-26 18:52:37.124660,2026-02-26 19:02:45.402337,2026-02-26 19:07:41.044150,8.110547077209567,8.767842473890134
22,2026-02-11 10:34:37.845808,2026-02-11 10:41:06.818585,2026-02-11 10:44:12.156967,3.803518790472802,5.98065374026837
53,2026-02-20 02:01:55.882861,2026-02-20 02:14:28.964081,2026-02-20 02:16:00.822982,8.677705320207172,11.403089610904713
30,2026-02-27 13:34:07.749482,2026-02-27 13:47:18.240367,2026-02-27 13:48:37.649879,10.976771478250946,12.307432711216272
9,2026-02-08 11:35:33.209407,2026-02-08 11:50:37.119025,2026-02-08 11:54:14.825744,14.451310784681013,15.471752924227173
69,2026-02-10 10:11:59.259224,2026-02-10 10:24:19.339049,2026-02-10 10:25:42.819248,11.622487867113376,15.14267227144184
48,2026-02-04 15:25:13.749013,2026-02-04 15:36:41.129245,2026-02-04 15:40:25.280550,13.030164202153273,16.2368872073712
16,2026-02-26 10:28:53.659986,2026-02-26 10:35:26.020375,2026-02-26 10:37:59.181157,6.879891844959561,7.532535820987387
33,2026-02-14 21:40:20.096147,2026-02-14 21:56:19.470693,2026-02-14 22:00:42.240768,14.12147720097972,15.67739238490559
90,2026-02-18 17:12:09.987621,2026-02-18 17:23:58.786281,2026-02-18 17:25:08.190999,13.401617542822741,11.537473401269303
89,2026-02-04 19:26:02.520298,2026-02-04 19:31:26.739054,2026-02-04 19:36:10.120812,1.7419356178700474,4.399841838443791
37,2026-02-21 08:36:11.229381,2026-02-21 08:50:29.882323,2026-02-21 08:53:29.057009,16.20943967816747,10.929644346742911
89,2026-02-18 16:46:51.106142,2026-02-18 16:54:40.870390,2026-02-18 16:58:12.511321,7.438974976975856,7.974898087567987
69,2026-02-20 01:42:33.942008,2026-02-20 01:59:18.682379,2026-02-20 02:00:40.571844,18.618032302182296,17.68819111492225
42,2026-01-29 23:20:53.063150,2026-01-29 23:31:49.593952,2026-01-29 23:36:10.829335,12.15592871647096,11.077288911590879
46,2026-02-08 02:15:54.166505,2026-02-08 02:33:10.679411,2026-02-08 02:37:58.019070,20.738278106987657,16.559142495897902
89,2026-02-11 02:08:38.411471,2026-02-11 02:25:20.143918,2026-02-11 02:28:04.412361,14.05713725531036,15.507960808067262
45,2026-02-28 09:17:11.952320,2026-02-28 09:19:46.102164,2026-02-28 09:23:45.152935,3.5373197497754068,1.328317653432654
77,2026-02-21 16:05:56.847505,2026-02-21 16:09:12.468128,2026-02-21 16:10:22.884316,6.688521370812281,0.5
85,2026-01-30 08:00:12.104319,2026-01-30 08:16:58.877099,2026-01-30 08:20:45.856784,23.606830229873218,17.388886364746497
31,2026-01-29 14:59:03.630164,2026-01-29 15:10:24.586286,2026-01-29 15:12:05.309463,9.547454647972039,10.887001761808612
36,2026-02-14 22:21:56.980975,2026-02-14 22:29:44.024171,2026-02-14 22:31:58.310799,8.809321190332192,10.598309521824543
84,2026-02-10 20:12:11.500579,2026-02-10 20:17:20.959347,2026-02-10 20:18:40.818968,7.104325855525771,6.328058878395124
30,2026-02-03 04:03:28.384431,2026-02-03 04:09:22.396485,2026-02-03 04:11:53.810291,6.786633477581558,4.254182101462021
86,2026-02-03 18:03:10.580121,2026-02-03 18:08:16.022585,2026-02-03 18:12:55.182366,3.6375806513677302,7.54899770683657
23,2026-02-05 04:21:49.739932,2026-02-05 04:35:24.808664,2026-02-05 04:40:13.780911,10.38161758362974,13.370909644245584
77,2026-02-22 02:25:40.547258,2026-02-22 02:29:11.285040,2026-02-22 02:33:27.217616,2.7075071794647245,2.7354279816048113
5,2026-02-25 18:03:05.702877,2026-02-25 18:17:15.776903,2026-02-25 18:20:49.223629,18.35828117055201,13.583034847726617
75,2026-02-22 16:06:07.277063,2026-02-22 16:08:02.318773,2026-02-22 16:10:25.900085,6.25037820139157,3.2464571658153663
38,2026-02-14 18:12:08.281042,2026-02-14 18:21:10.333862,2026-02-14 18:24:00.577096,11.940099119099319,10.002812848302156
17,2026-02-14 04:11:15.132402,2026-02-14 04:21:22.217913,2026-02-14 04:22:40.425112,9.85073172792994,8.161387595711025
23,2026-02-25 04:52:13.671929,2026-02-25 05:01:32.621122,2026-02-25 05:06:07.850340,7.774219135560627,7.72699960473728
67,2026-02-12 18:23:04.290855,2026-02-12 18:32:36.431574,2026-02-12 18:35:48.123248,12.67161703488571,9.181888943636862
5,2026-02-15 03:59:47.079243,2026-02-15 04:09:35.454225,2026-02-15 04:13:47.312721,9.50040115600487,9.869450816057334
86,2026-02-25 20:52:36.275334,2026-02-25 21:06:16.905873,2026-02-25 21:08:07.149711,11.816084477918832,12.572557387139017
